commit	val_metric	memory_gb	diff_lines	status	description	reject_reason
03b5dc8	89.028527	0.0	28	discard	residual learning: XGB predicts GT-heuristic corrections	worse than direct prediction
225f38a	84.443356	0.0	2	keep	widen L7 clamp [0.80, 1.25] (R4=91.93 R6=82.55)
64deaed	84.347338	0.0	17	discard	per-terrain blend (p=0.40 f=0.45 s=0.30)	R1/R2/R4/R6 regressed
ec6fe48	84.332017	0.0	1	discard	L7 settlement strength 0.80->1.00	R7 worse 64.05
a7bb9aa	84.118673	0.0	49	discard	LightGBM num_leaves=31	R5 drops to 83.80
e155e4b	84.434661	0.0	1	discard	L7 empty=1.00 forest=1.50	flat, R4 slightly worse
d667b59	83.996817	0.0	24	discard	global features (settl_ratio, forest_ratio, n_settl_norm)	R7=68.19(+3.7!) but R2=89.92 R6=78.49
cc48576	84.440518	0.0	3	discard	XGBoost 400 trees + lr=0.05 (249s)	no improvement, 3x slower
5d70fe7	84.442242	0.0	149	discard	recalibrated tables + Layer 3 (R5=85.93 R7=66.59 but R1/R2 drop)	wash
0c4cf8d	82.576861	0.0	4	discard	skip Layer 3 with calibrated tables	R6 drops to 74.68
8b5f981	84.441600	0.0	1	discard	settlement XGBoost depth=5	negligible change
---	-	-	-	-	--- R7 POST-MORTEM RESEARCH (6-fold LORO incl R7) ---	-
safe-l7	84.252887	0.0	6	keep	safe L7: zero port/ruin + clamp [0.85,1.20] + obs gating	-
recalib	-	0.0	45	keep	recalibrate all tables from R1-R7 GT (30 maps, 3x data)	-
obs-l7	84.440000	0.0	0	discard	observation-aware L7 (obs region only)	100% coverage, zero diff
ensemble	84.440000	0.0	0	discard	ensemble no-L7 + safe-L7	-0.52 avg, L7 too valuable on R4/R6
sim-fit	47.77-71.57	0.0	0	discard	simulator with obs-fitted params	far worse than heuristic+GBT
lgbm	84.118673	0.0	49	discard	LightGBM leaf-wise	R5 drops
stats37	84.940000	0.0	35	keep	settlement stats as 7 XGB features (37 total): R6+3.62 R7+1.86	-
ff19dfa	-	0.0	127	keep	PRODUCTION: stats+recalib+safeL7 combined	-
f809175	84.565888	0.0	1	keep	widen L7 settlement lower clamp 0.50 (R8=86.47 +2.59)	-
2f32954	86.526200	0.0	1	keep	EMP_BLEND=0.40 (was 0.45, +0.008)
9c9405c	86.531969	0.0	2	keep	XGB depth=5 for forest+settl (was 4, +0.006)
eb62f29	86.569806	0.0	10	keep	weight XGB training by round weight (+0.038)
a60eac7	86.659267	0.0	1	keep	GBT blend p=0.35 f=0.45 s=0.55 (+0.089)
f2649f6	86.738029	0.0	1	keep	GBT blend p=0.40 f=0.50 s=0.60 (+0.079)
3d0a2b7	86.806097	0.0	1	keep	GBT blend p=0.45 f=0.55 s=0.65 (+0.068)
c89b3e8	86.863399	0.0	1	keep	GBT blend p=0.50 f=0.60 s=0.70 (+0.057)
